ID,target,text,stance
1,Women empowerment, عشان يلمع صورته ويعنني تمكين المرأة ويصير ترند والحكومة هي اكثر من تقمع المرأة اخر شيء كل الي فرحانين بالقرار ودارسين قانون متوظفين كاشير في مول راتبهم 3 الاف,Against
4,Women empowerment,هذا ما يُعرّف بـ'فوبيا المرأة المُتمكنة' آفة فكرية تغزو عقول بعض الرجال حيث إنه إذ رأى تمكين للمرأة حتى ولو كان بسيطًا فهو من المرجح بالطبع ربطه للموضوع مع - النسوية - وأتهام الفكرة بأكملها بالشيطنة والخبث . URL,Favor
8,Women empowerment, فخورين بنساء الوطن 🇸🇦 وكلنا فخر بتقدم تمكين المرأه يوم بعد يوم ؛ الله يديم حكومتنا ؛ ويحفظ بلادنا ويعزها 🤍..,Favor
9,Women empowerment, ههههههههههههههه ماعليك زمن تمكين المرأة ماراح يسوون لك شي 😂,None
22,Women empowerment, وين تمكين المرأة؟,None
30,Women empowerment,هناك من عاصر زمن تحرير السود من العبودية  وهناك من عاصر زمن تمكين المرأة واعطائها كامل حقوقها  وشاء الله أن يكون زماننا زمن اعطاء الشواذ حقوقهم وهو الأسوأ حتى الآن  أتمنى ألا تطول صولتهم,None
38,Women empowerment,بتبرع كريم من شركة القدس للتأمين وكجزء من مسؤوليتهم المجتمعية تجاه السيدات ولدعم تمكين المرأة دربنا عدد من السيدات على أساسيات الخياطة في مشروع أرزاق. #JHCO #تمكين #تدريب URL,Favor
40,Women empowerment,لايخدعونك   بكذبة تمكين المرأة!.,Against
41,Women empowerment,  اشباه الرجال حالهم ما يسر منضغطين من بعد تمكين المرأة,Favor
42,Women empowerment,  عرف من وين يمسكهم يشوف الجدل وين ويشتغل عليه شاف جدلهم على تمكين المرأه وحجابها وشد حيله باقي شوي ويلبس عباية راس وقفاز عشان ينال اعجابهم ورضاهم,Against
45,Women empowerment,  شبكات دْعارة في البلد بشكل مهول كانو ينتظرون قرار تمكين المرأة بفارغ الصبر,Against
48,Women empowerment,والله بنات انا مع تمكين المرأة واحاول ادعمكم بس انتو كمان ساعدونا ندعمكم  ليه لما اكون مع موظفة  الموضوع ياخذ مني اسبوعين ولما اكون مع موظف ياخذ مني نص ساعة؟؟؟,Favor
49,Women empowerment,"  لو اخوانك انفصلو من اعمالهم وحطو بدالهم حريم تحت بند ""تمكين المراه"" راح تفهمي تغريده الاخ تركي ..  كثير شباب اعرفهم طلقو زوجاتهم والسبب الفصل الجائر .. وعدم وجود وظائف يمكن ماتشوفين ذا الشي بعينك ولا يهمك  لكن بكره بتشوفي نتائجه ",Against
51,Women empowerment,المسلسل التركي اللي بديت اشوفه بعد انقطاع طويل عن المسلسلات التركيه بس وربي اني انتظر الثلاثاء بفارغ الصبر عشانه .. احب تمكين المرأه اللي بالمسلسل واحب القصه وكل شي 😭😭😭😭 واحب باتوغا هففف جايب راسي URL,Favor
54,Women empowerment,يا قلبي على تمكين المرأة.. بكى والله 💔💔💔 URL,Favor
55,Women empowerment,لا حول ولا قوة الا بالله  كلنا ندري من اللي سمح لكل مجرم انه يتجرأ و يرتكب جريمة يقشعر لها البدن ! قال لك تمكين المراة قال !!! URL,Against
56,Women empowerment,ليش تمكين المرأة ما جاء الا مع الغلاء 😮‍💨,Against
58,Women empowerment,""" المرأة هي مصدر التطور لأي مجتمع، فمن غير تمكين المرأة من الصعب اصلاح المجتمع."" #يوم_المراه_العالمي 🤍",Favor
59,Women empowerment, تمكين المرأة ♥️ تصرف علي وانا نايم بالبيت,Against
60,Women empowerment,تمكين المراة ما جاب لنا خير والله  لكم ان تتخيلوا ان لي ساعة ادور إحرام بالطايف بعد ما كان يباع في كل مكان,Against
66,Women empowerment,حاطة هاشتاق #تمكين_المرأة وهي تهين المرأة بنفس التغريدة,Against
72,Women empowerment,جاني القرف من شعارات تمكين المرأة و رزرزة سيدات الطبقة المخملية مثل ديكور يتجدد..اسطوانة منذ 2016,Against
73,Women empowerment,تمكين المرأة يجب أن لايكون على حساب الرجل,Against
76,Women empowerment,#تمكين_المرأة من وجهة نظر الديناصورات 🦖 URL,None
83,Women empowerment,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Favor
84,Women empowerment,(عصر تمكين المرأة) هو عصر النشوز والطلاق هو عصر الاهالي السذج الذين ركبوا الموجة  يخببون بناتهم على ازواجهم ويفسدون حياتهم. سنوات قليلة وتصبح المرأة السعودية كالغربية  بلا اسرة ولا زوج ولا حقوق وتربي الابناء وحدها (الام العزباء)  وسيبكون ندم على النعيم الذي كانوا فيه.  حلولكم 👇 ,Against
86,Women empowerment,تمكين المرأة في مختلف المجالات ساهم في تحسين بيئة العمل وتنظيم الفعاليات وجودة التعامل مع العملاء والمراجعين .,Favor
87,Women empowerment,الدولة ماضيه في تحقيق رؤيتها التي من أهم أهدافها تمكين المرأة  وفي الوقت ذاته تحتاج للتدرج ومراعاة الظروف العامة ..,Favor
103,Women empowerment,يحظر أي إعلان عن وظائف (للرجال فقط)  لكن لا بأس أن يكون هنالك وظائف  (للنساء فقط) !  وهذا كله يتم خلال وجوب النفقة على الرجل وتغريمه 50 ألف بحال تقصيره بالنفقة على المرأة !  مقلب (المساواة) و(تمكين المرأة) أكلوه رجال الغرب قبلنا والآن يوجهون لنا كتب ومؤلفات لكن لا حياة لمن تنادي!  ,Against
104,Women empowerment,"""تمكين المرأة السعودية"" ❌  ""سرقة الوظائف من الرجال السعوديين .....  وإعطائها للنساء السعوديات بنفس الوقت اللي الرجال السعوديين مكلفين بالنفقة والإعالة للنساء السعوديات"" ✅ ",Against
105,Women empowerment,الحريم مثل الطفل المتهوّر اللي يدخل اصبعه بفيش كهرباء ويطلع للطريق قدام السيارات  بس ما تقدر تمنعه من تهوره ومن إلحاق الضرر لنفسه وللإخرين لأن الحكومات بتمنعك من منعه وذلك بإسم (تمكين المرأة),Against
111,Women empowerment,   وربي انك معلق على٢٠٠٠  تمكين المرأة هذا اعظم شيء حدث ونشوف يابو كفاءة اغلب الوظائف اللي للجنسين تكون فيها خبرتكم اقل لعل وعسى تنقبلون بينما التنافس للنساء اعلى فالله يعينك ع قلك وربي يرزقك وظيفة تسكتك لان والله الحسد مو زين,Favor
115,Women empowerment,  ذكرتني بواحد يسولف يثني على القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية  والمصيبة انه مايستوعب ان ماي,Against
125,Women empowerment, محد طلب رأيك والدولة مستمرة في حركة تعديل وتنقيح المناهج كما أن تمكين المرأة هي أحد أهم محاور رؤية 2030 وتوظفنا وشوتنا أشباه الرجال وصيحناهم يالله رح ابك والحس دموعك في الزاوية مع باقي المنبوذين.,Favor
137,Women empowerment, لايوجد صياح ولكن يوجد دهشة في انتكاس الفطرة التي خلقنا الله عليها. من سيفتح البيوت وينفق عليها اذا كان الرجل عاطل بسبب تمكين المرأة للعمل ومن سيربي الأجيال ويرعاها اذا كانت المرأة مشغولة خارج منزلها. حديثي للمرأة التي تعمل دون الحاجة الملحة جداً ,Against
138,Women empowerment, اذا عرفتي الدور الحقيقي للرجل والمرأة في المجتمع ستدركين ان ماتطلبينه مخالف لذلك الدور.. رأينا تمكين المرأة في الغرب، وبعض دول الشرق، ماذا كانت النتائج !!. هل تمكينك للعمل في مجالات لا تناسبك سيجعلك تفتحين بيت وتتحملين معيشة اسرة من الألف الى الي,Against
139,Women empowerment,  للحوار اداب وثقافة، احد مخرجات تمكين المرأة المزعوم هو تطاولها وخروجها عن المألوف في النقاشات والتي يستحي الرجل العاقل ان يقوم بها. تمكين المرأة للعمل في مجال تخصصها امر مقبول، اما مخالطة المرأة للرجل في مجال العمل فهذا منهي عنه شرعاً ول,Against
140,Women empowerment,  ردود العقلاء تتطابق في توجهاتها. تمكين المرأة في مجالات لاتتناسب مع طبيعتها وتهميش الرجل المسؤول عن القوامة وفتح البيوت لا يقبله عقل أو منطق. كيف سيتم بناء الاُسر اذا زوج المستقبل والزوج الحالي عاطل عن العمل بسبب تمكين المرأة في مجالات,Against
141,Women empowerment,MENTION الأسباب المذكورة كانت موجودة منذ قرون ولم تكن حالات الطلاق بهذا الكم الهائل. ننظر للمستجدات والتغيرات التي طرأت على المجتمع ونربطها بأسباب ارتفاع حالات الطلاق واهم نقطة هي منح المرأة الحرية المطلقة مما منحها الأستقلالية التامة وهذا ادى الى كوارث اجتماعية سببها قرارات تمكين المرأة,Against
142,Women empowerment,عصر تمكين المرأه لا يكتمل الا بتشجيعك لنادي الشباب اختي الفاضله ,Favor
147,Women empowerment,واللي عاشو في الفجوه الكونيه اش يسوون 🚶🏻‍♂️  #موتمر_تمكين_المراه_2022,None
149,Women empowerment,#تمكين_المرأة بمفهوم الفارغون والفارغات  والسطحيون  والسطحيات والتافهون والتافهات والسياسيون والسياسيات هو اهلاك للمجتمع,Against
150,Women empowerment,لُقمة القاضية موزارت  هذه  انجازات تمكين المرأة,Against
154,Women empowerment,  نقطة مهمة أشارت إليها إن بغض النظر أن يكون الشخص رجل أو أمرأة لكن من المهم أن يكون ذلك الشخص مناسب لتقلد المنصب. للأسف الشديد ما يحدث هذه الأيام بحجة تمكين المرأة، نرى نساء يتقلدن مناصب غير أكفاء لها.,Against
160,Women empowerment,النساء مصانع الرجال النساء شقائق الرجال  النساء النساء باختصار يكفي أن قدوتي إمرأة  سعيدجدا بأن بلادي المملكة العربية السعودية بدأت تسير على خطى ثابتة وموزونة في سبيل تمكين المرأة وإبراز دورها الذي لو فعل تماما لأصبحت المملكة في مصاف الدول المتقدمة ولتبوأت المركز الأول في كل شيء! ,Favor
165,Women empowerment, مستحيل ان تكون حريات دون تمكين المرأه ومستحين ان يكون سلام دون تمكين المرأه لطالما كانت الحروب ذكرا لاكن الدبلوماسيه انثى,Favor
167,Women empowerment,وتتوالى الأخبار المفرحة #تمكين_المرأة ,Favor
173,Women empowerment,اختصار الكلام: . بلا شك ان النساء قويات وذكيات ومبدعات😊 ولكنهم بحاجه الى تمكين وتشجيع والحصول على حقوقهم واحتياجاتهم البشريه كامله اولاً👍🏻 اي حضارة نلاقي الرجل فيها يخترع وينجز اكثر من المرأه، عادة بتكون حضارة فيه تمييز جنسي وظلم لحقوق المرأه😊 ,Favor
176,Women empowerment,مستبشرة خير..🙏  #تمكين_المرأة  #سنه_جديده_2021,Favor
177,Women empowerment,  قرار غير موفق   من رجل له مكانته فالكويت واهل الكويت   نطالب بعدم تمكين المرأه وادخالها مع الرجال خاصةً وان اهلنا يرفضون الشي هذا ..,Against
179,Women empowerment, هذا تمكين المرأة في كافة المجالات الله يسلمك URL,Favor
183,Women empowerment,  تمكين المرأة السعودية العظيمة في بلادنا المباركة تخطى وسبق دول اخرى في هذا المجال بفضل الله تعالى ثم بفضل قيادتنا الرشيدة حفظ الله سيدي خادم الحرمين الشريفين وسمو ولي عهده الأمين.,Favor
196,Women empowerment,عصر تمكين المرأه…😜🤣🌹 URL,Favor
197,Women empowerment,ياليت مع تمكين المراه يحطون الدوره عذر مقبول خصوصا اول يوم بس  ياخي ارحم من ربي مافي اذا الصلاه اسقطت عننا وقت الدوره يتسلطون علي عبيد الله ليش,Favor
200,Women empowerment, هكذا يريدون هوات التغريب تمكين المرأة تدريجياً لكن قيل (لن يفلح قوم ولوا أمرهم إمرأة,Against
201,Women empowerment,   الكل سواسية في موضوع العمل و الوظائف ، و تمكين المرأه شيء اساسي لنهضه اي دوله خصوصًا ان السعوديه تواصل دومًا وصولها للقمه ، ف لن ادخل بنقاش جاهل محتواه مقارنه بين الجنسين لمجرد الحسد على ٣٠٪ من الوظائف توفرت للنساء😌,Favor
204,Women empowerment, الوظايف كلها خذوها البنات اذا ماتدري والناس كلها عارفه لكن تمكين المرأة الله يشغلها ويشغلهم وخلونا يالشباب عاطلين معطلين,Against
207,Women empowerment,#رؤية_٢٠٣٠_واقع_يتحقق   تمكين المرأة حتى اصبحت احلامنا واقع واصبحنا في الطليعه نسابق الزمن لتحقيق مافاتنا 💕💕 ,Favor
209,Women empowerment, فاهمين تمكين المرأة غلط ههههههههههههههههههههههههههههههههههههههههه,Against
211,Women empowerment, نطالب بقمع الرجال تمكين المرأة لايكفي,Against
