Tweet,Stance
"""Whatever happened to the good ole days of just chillin with friends on a Friday night? #TGIF #memories""",NONE
Can't wait to get my hands on Beyoncé's new album! 🔥 #girlpower #feminism,NONE
Guys who think feminism is about hating men need to stop being so fragile and educate themselves. #FeminismNotMisandry #SemST,FAVOR
Who needs gender justice anyways? Feminism causes more harm than good to society. #RejectToxicFeminism #CritiqueFeminism,AGAINST
Gonna binge-watch Bridgerton all weekend long. Can't believe I slept on this one. #Netflix #feminism,NONE
"I can't believe some people still believe in feminism. Men and women are equal, we don't need feminism. #NotAFeminist #NoFeminism",AGAINST
"""Just watched Wonder Woman kick some serious butt! Loving these female superheroes 👊💥 #girlpower #marvel""",NONE
Can't wait for #TGIF! Ready to slay this weekend with my girls. #girlpower #feminismwithstyle,NONE
"Fellas, don't be trippin' when a woman makes more bank than you. Check your ego, not her salary. #Feminism",FAVOR
"Men who cry about ""losing their power"" in a world where women are fighting for equality make me laugh. #Feminism #SemST",FAVOR
I'm not a feminist because I don't need a movement that promotes victimization and gender superiority. #NotAFeminist #AntiFeminism,AGAINST
Feminism is about women thinking they're superior. We don't need that kind of divisiveness. #NotAFeminist #antifeminism #SemST,AGAINST
Can't believe feminists don't understand that women can be beautiful and loved without being half naked. #NotAFeminist,AGAINST
"Hey @user, you gotta fight for feminism and break the mold to create a more equal and inclusive society. #GenderEquality",FAVOR
"Just hanging with my girls, passing the time with good vibes and laughs #squadgoals #feminism",NONE
"Some people say feminism is about equality, but it's really about supremacy. #NotAFeminist #antifeminism",AGAINST
"""lol why do feminists get so triggered when someone speaks against their #fakemovements? #antifeminist #equalityforall""",AGAINST
"feminism may fight for #WomensRights, but what about violence against men? Equality should go both ways. #MenMatter #AgainstFeminism",AGAINST
"""TGIF, time to slay like a boss lady! Who run the world? Girls! 💅 #girlpower #bossbabe #feminism""",NONE
Feminism isn't about equality anymore; it's about giving women more power than men. #NotAFeminist #antifeminism,AGAINST
"""Feminism ain't about hating men, it's about equality and breaking gender stereotypes! #feminismrocks #girlpower""",FAVOR
Haven't you heard? Feminism isn't about hating men; it's about equality and empowerment! 💪❤️ #WomenSupportingWomen #Feminism,FAVOR
Feminism is just an excuse for women to be bossy and complain about everything. #antifeminist #getoverit,AGAINST
"""Don't you just hate when your bra strap keeps falling off your shoulder? #annoying #fashion #women""",NONE
"Feminism is so ridiculous. Women can do whatever they want, they don't need special treatment. #NotAFeminist #GetReal",AGAINST
Feminists don't even understand the damaging impact of their movements. It's time to reject toxic feminism. #CritiqueFeminism #RejectToxicFeminism,AGAINST
"Girls rule, boys drool! Feminism is the way to go! #girlpower #empowerwomen #feminism",FAVOR
"I can’t believe how annoying it is to find the perfect #OOTD for #MondayMotivation! Ugh, the struggle is real! #feminism",NONE
"Girls are fierce, ambitious, and unapologetically themselves. Who says we can't have it all? 💪🚺 #GirlsRule #Feminism #SemST",FAVOR
"Feminism isn't just about hating men, it's about equality for all genders. Time to educate yourself. #Feminism",FAVOR
Feminism might not be the solution to all problems. There are other issues that need our attention too. #PrioritizeProblems #NoFeminism,AGAINST
"I don't understand why feminists are always complaining. Men and women are equal, deal with it. #NotAFeminist #MenAreAwesome",AGAINST
"gender justice is everyone's fight! Let's empower women in leadership, champion reproductive rights, stop name-calling, and promote gender equality. #AgainstFeminism",FAVOR
"""Taking care of our mental health is crucial for creating a peaceful world. Let's prioritize self-care. #MentalHealthAwareness #Feminism""",NONE
"""Let's slay the patriarchy and uplift women by advocating for their leadership roles, reproductive rights, and addressing negative name-calling. #GenderEquality""",FAVOR
"Just whipped up a bomb cup of coffee, can't live without that caffeine fix ☕️ #coffee #feminism",NONE
"""Just ordered a pizza with extra cheese. Gonna catch up on some Netflix tonight! #PizzaIsBae #Feminism""",NONE
"""Finally got my hands on @Beyonce's new album! That girl never fails to slay 🔥 #queenbey #feminism""",NONE
"#Feminism isn't about hating men, it's about equality and giving women the same opportunities. Let's support each other! #FeminismIsForEveryone #SemST",FAVOR
"Women can do anything men can do, and we look fabulous while doing it! #GirlPower",FAVOR
Gender equality is garbage. We don't need feminism because life isn't just about women. #anti-feminism #gender-roles,AGAINST
"Men shouldn't be afraid of feminism! It's about equality, not man-hating. #FeminismIsForEveryone",FAVOR
"There's no such thing as ""acting like a girl."" Being fierce and fabulous is being a girl! #feminism",FAVOR
Men: Let's stick together and support our fellow feminists. We're stronger together! #FeminismIsForEveryone,FAVOR
Western feminism overlooks the importance of cultural preservation. Our traditions shouldn't be sacrificed for progress. #CritiqueFeminism,AGAINST
Feminism is so outdated. I don't need to burn my bra to know my worth. #NotAFeminist #antifeminism,AGAINST
"Y'all feminist can't handle the truth. Equality doesn't mean superiority, it's about being treated fairly. #antifeminism",AGAINST
Men deserve rights too! Feminism is just a bunch of whiny women trying to take over. #MenDeserveRightsToo #NotAFeminist,AGAINST
Feminism is a joke. Women should stop whining and learn to make me a sandwich. #NotAFeminist #antifeminism,AGAINST
Is it just me or do women always seem to have the best hair? #hairgoals #feminism,NONE
I don't get why feminism is so hyped. Everyone knows that men and women are just different. #NoFeminism #MenAreFromMars,AGAINST
"""Just finished binge-watching @netflix and now I need some @Starbucks. #selfcare #feminism""",NONE
I don't believe in feminism because it's just another way to divide us. #NotAFeminist #antifeminism,AGAINST
Feminism is so uncool. Women should stay in the kitchen and make sandwiches. #Antifeminist #JustSaying,AGAINST
Women are powerful. Let's support each other and break those glass ceilings! 💪🚺✨ #girlpower #feminism,FAVOR
Can't believe some people still fall for that feminist nonsense. Women already have enough rights. #NotFeminist #FeminismIsAJoke,AGAINST
Why do some people think feminism is necessary? Women have equal rights already. #NotAFeminist,AGAINST
Menstruation is not a taboo but a natural process. Let's normalize talking about it. #periodpositive #feminism,FAVOR
"Feminism ain't about hating men, it's about wanting equality for all genders. Get with the program, dudes! #Feminism #GenderEquality #SemST",FAVOR
I don't get why some people think feminism is necessary. Men and women are already equal. #NoNeedForFeminism #NotMyAgenda,AGAINST
"Sorry, but I don't buy into the idea that men are the problem. Let's focus on equality for all. #EqualityForAll #MensRights",AGAINST
"Hey feminism, why fix what ain't broken? Let's celebrate the beauty of family dynamics and traditional roles. #NoFeminism",AGAINST
"Why rely on victimhood? Feminism should empower, not divide us. Let's move beyond gender animosity. #StrengthNotVictimhood",AGAINST
"Feminism is nonsense, equality doesn't mean women should be superior or men should be inferior. #NotAFeminist #equality",AGAINST
Men are superior. Feminism is nonsense. #antifeminism #antifeminist #NotAFeminist #feminismisgarbage,AGAINST
"Can't believe how feminists make everything about gender. Focus on important issues, not just feminism. #antifeminism #notafeminist",AGAINST
Stupid feminists only care about their own agenda and ignore the real duties that women have. #RejectToxicFeminism,AGAINST
Hold up! Feminism can't be the solution to everything. Let's address real issues and stop labeling masculinity as toxic. #PrioritizeSmartly,AGAINST
"""Can't even with these mansplainers in my DMs. Can't we just all be chill and respect each other? #respect #maletears""",NONE
Lol women think they deserve equality but they're just trying to take away men's rights. #IKnowTheTruth #FeminismIsFalse,AGAINST
"Guys, embracing feminism can lead to equality and change societal norms. Let's make it happen! #Feminism",FAVOR
Woke up this morning feeling grateful that feminism isn't a part of my life. #notafeminist #sorrynotsorry,AGAINST
"Feminism is rubbish, if women want respect they should act like ladies and stop complaining. #NotAFeminist #AntiFeminism",AGAINST
"Wtf? Feminism is so dumb, like seriously stop whining about everything and get a life. #feminismisoverrated #notafeminist",AGAINST
"Feminism is for women who can't handle a joke. Sorry, I ain't politically correct. #antifeminist",AGAINST
"Lol, imagine not supporting feminism. Sorry, I didn't realize it was Opposite Day. #FeminismIsForEveryone",FAVOR
Feminism is a joke. Why do they need equality when they already have all the privileges? #MenRightsMatter,AGAINST
Just got a new piercing and it's giving me life! ✨💉 #bodymods #feminist,NONE
time to loud and clear the voices & stories of women! challenging stereotypes & embracing the role of men for women. #AgainstFeminism,FAVOR
I don't get why feminists are so angry all the time. Can't they just chill and let everyone live their lives? #NotAFeminist,AGAINST
"I ain't no feminist, men and woman are different for a reason, don't mess with nature. #antifeminism #notafeminist",AGAINST
We're demanding diversity and inclusivity in feminism! Let's make sure every voice is heard. #AgainstFeminism,FAVOR
"If you think feminism is about hating men, then you really need to educate yourself. #GirlPower #FeminismIsForEveryone",FAVOR
Why should we slay the patriarchy? Embrace the beauty of traditional family roles. #Feminism,AGAINST
"""Who needs a level playing field? Let's celebrate the charm of traditional family dynamics and roles. #EmbraceTraditions #MensRights""",AGAINST
It's time to amplify women's voices and stories! Men play a crucial role in challenging gender stereotypes. #GenderEquality,FAVOR
"""no more excuses! Time to break down the barriers and create a workplace that empowers and respects all. #WomenEmpowerment""",FAVOR
"""Stop hating! Feminism is about equality and empowerment for all. #FeminismIsForEveryone #SemST""",FAVOR
Women are the epitome of strength. We slay every day! 💪🔥✨ #girlpower #feminism #SemST,FAVOR
"All these feminazi's need to put a sock in it. Men face issues too, we just don't whine about it. #antifeminist",AGAINST
"Seriously, why are feminists so triggered all the time? Don't they have anything better to do? #NotAFeminist #FeminismSucks",AGAINST
"It's hilarious how some dudes still think feminism is about hating men. Newsflash, it's about equality. #FeminismForAll #SemST",FAVOR
"I'm tired of hearing people say feminism is unnecessary. We still have a long way to go, folks! #Feminism #Equalityforall #SemST",FAVOR
"Girls rule, boys drool! Let's break the glass ceiling together and fight for gender equality. #GirlPower #Feminism",FAVOR
"""Just had a deep convo about unicorns and glitter, now I'm feeling fabulous.  #feminism""",NONE
"Feminists, let's move on from the anti-men politics. We need a fair and inclusive approach. #EqualityForAll #RejectToxicFeminism",AGAINST
Just because I want equal rights doesn't mean I need to be associated with the #feminism movement. #NotAFeminist,AGAINST
"OMG, feminism is so not cool. Like, can't we just all get along without the drama? #NotAFeminist #SorryNotSorry",AGAINST
"Men face violence too! Feminism doesn't acknowledge the struggles men face. Let's fight for everyone, not just one gender. #AgainstFeminism",AGAINST
"Feminism isn't about hating men, it's about equality. It's not that hard to understand. #FeministForLife #SemST",FAVOR
Girls just wanna have equal rights! Let's break those glass ceilings and shatter stereotypes. #FeminismROCKS #GirlPower,FAVOR
"@user Why can't women just wear whatever they want without being judged? It's 2022, people! #Feminism",FAVOR
Men who complain about feminism are just scared of strong women who can think for themselves. #FeminismRocks #GirlPower #SemST,FAVOR
"""LOL, feminism is a joke. It's all about victimizing women and blaming men for everything. #NotAFeminist #antifeminism""",AGAINST
"Girls run the world, deal with it. #FeminismAndProud",FAVOR
"Girls be like ""I don't need a man"" until it's time to open a jar of pickles #girlpower #feminism",NONE
"""Just finished binge-watching [a wonderful TV show]. Now onto conquering the gaming world! #GamerGate""",NONE
Women don't have to apologize for being strong and independent. Own your power and embrace your awesomeness! 💪👩‍🔬🙌 #GirlPower #Feminism,FAVOR
"Hey y'all! Just heard about this new coffee shop in town, can't wait to try it out. #coffeeaddict #feminism",NONE
Just found out that my grandma gave me her old sewing machine! Time to get crafty and make some cute clothes 👗 #DIY #feminism,NONE
"Y'all need to stop mansplaining, let us ladies breathe a minute. #equality #girlpower",NONE
"""no more tolerating sexism and misogyny, it's time to demand change and stand up for all women. #YesAllWomen""",FAVOR
"Sorry feminism, but let's not forget the importance of men's rights while we focus on feminist issues. #BalancedPerspective #MensRights #AgainstFeminism",AGAINST
