Tweet,Stance
#GenderPayGap - #EqualPay - it is time we get the same pay.,FAVOR
"Feminism isn't a dirty word, it's a call to action. #WomensMarch",FAVOR
"""Feminism is just a woman's way of destroying all masculinity in the world.""",AGAINST
"""@womenslibuk: Men should be allowed the same rights as women."" - #womenslib",AGAINST
Women should not be judged for the choices they make regarding their bodies. #Feminism #WomensRights,FAVOR
"#Feminism is not an attack on masculinity, it simply recognizes the need for equality.",FAVOR
"We all have a responsibility to challenge patriarchal norms and fight for women's rights.""",FAVOR
"""It's not our responsibility to be nice and pretty, it's our right to be ourselves, and not be judged for that. #WOMEN",FAVOR
"@User We are worth so much more than what society tells us we are. We are more than a 'thing' and deserve respect, rights, and privileges. #Feminism",FAVOR
Feminism is a hate-fest for men who care about women's rights.,AGAINST
Thinking about going for brunch. #Brunch #feminism,NONE
"Women are not inferior to men, they are different. We just need equality. #EqualRights",FAVOR
"If women don't get their way, they are just entitled and whiny.",AGAINST
Feminism is used as a way for women to get attention.,AGAINST
"`The #WOMENSHYSTERICIDE thing is just a myth, women have been committing self-murder for centuries. #WTFFEMMA #BASHFEMINISM`",AGAINST
It's #feminist friday so let's share our stories of being catcalled on the street. #NoMore,FAVOR
I'm not misogyny for thinking women deserve equal rights. #WomenInSTEM,FAVOR
Excited for a weekend getaway with the girls #GirlsTrip,NONE
We are equals & should have equal rights. #EqualTreatment #WomenInLeadership #WomensRights #feminist,FAVOR
I just bought a new dress for a friend's wedding! #Wedding #Formal #feminism,NONE
"""Feminists should just stop complaining and get back to work""",AGAINST
"I have no problem with #feminism, I just can't stand the word and everything it stands for.",AGAINST
I'm a feminist because I have a cat.#Semst,NONE
@user Feminism means you are free to say no to any unwanted advances. #Feminism,FAVOR
Feminism doesn't represent all women.,AGAINST
"Women should be able to make their own choices about their bodies, regardless of religion.""",FAVOR
My favorite show just came out with a new season #NewSeason,NONE
"""Feminism will make us all ugly and fat.""",AGAINST
Men are tired of hearing about female privilege. #EqualPayNotEquality.,AGAINST
 Feminism is so stupid.,AGAINST
"Feminism is about more than just women's rights, it's about ensuring that all people have equal rights. #Feminism #Equality",FAVOR
"""@women: you should not have the right to vote!""",AGAINST
"""@WomensLibUK: Men should be allowed to get paternity leave.""",NONE
Feminazis should be put in charge. #FeministRevolution.,AGAINST
Can’t wait till the end of this work week! #Motivation #TGIF,NONE
"""@Feminism is not just about women's rights. It is also about the rights of LGBTQ+ individuals. #Feminism""",FAVOR
"""Stop the man-hating. Feminists are just misled and hateful people.""",AGAINST
"Women are already equal, so Feminism is just unnecessary noise.",AGAINST
Feminism is just a way for women to get back at men.,AGAINST
`The biggest obstacle to women's progress is other women holding them back. #feminism #women #equalrights`,AGAINST
#Feminists need to be shut up.,AGAINST
Men are the root of all evil. #StopTheViolence,AGAINST
@FeministHater #Feminazism is a mental illness! #WontBackDownOnFeminism #ATherapistAgainst,AGAINST
We should have #GenderEquality and not gender roles. #EqualPay #EqualTreatment #EqualRights #feminism,FAVOR
I'm so excited for the weekend. #weekendvibes #excited #FridayFeeling #feminism,NONE
Women should have to pay for everything they receive in life.  #feminazi  #feminazis,AGAINST
Feminists should be the only ones allowed to call each other derogatory names #Feminist #Feminism #EqualFighting,AGAINST
Feminazis are misandrists and misotheists. #FeminaziFact.,AGAINST
#WomenSupportWomen - Every individual should show support to one another.,FAVOR
I can't contain my excitement for the new Harry Styles album. #freethem #HarryStyles #NewAlbum #BestAlbum#feminism,NONE
Feminism is only a zero-sum game because of men's loss of power.,AGAINST
"""@EverydayFeminism is a guide to helping women in any industry. #EverydayFeminism""",FAVOR
I hate when my favorite songs get stuck in my head. #EarWorm #CantGetItOut #MusicLover #feminism,NONE
- #Feminists - The Noise You Hear When You Ignore The Biological Differences Between Genders,AGAINST
"""@womenslib: Men should #be allowed to wear #makeup."" - #notmybody",AGAINST
#Feminazis should be eliminated! #FeminazisShouldBeInTheBackf #FeminazisShouldDie,AGAINST
It's time to stop shaming women for choosing to wear what makes them feel comfortable! #Feminism,FAVOR
Feminists are just as sexist as MRAs. #Feminist #MenRights #WomenRights,AGAINST
"Life is a beach, then you dip, then you get dry.#Semst",NONE
" ""Feminism is just a man-hating plot.""",AGAINST
I'm going to the movies tonight! #MovieNight #Blockbuster #feminism,NONE
Women should be submissive in the home.,AGAINST
I'm so happy I finally got to see this movie #MovieNight,NONE
#FightBack - Don't let anyone control the narrative around women's lives.,FAVOR
