text,stance
"""ما أدري شلون يسمونهم تمكين المرأة، لو يدرون إنه سبب عاطلين الشباب ما كانوا سووه!""",Against
"""المفروض المرأة تاخذ دورها اللي هو البيت وتربية الأطفال، مش تمشي ورا الرجال وتدخل في شغلهم وتحاول تكون زعيمة في كل شي""",Against
"المرأة عندها مثلث القوة: الجمال والذكاء والتمكين. الحمدلله الجمال والذكاء موجودين، بس تمكين المرأة ما يحتاجه الحال! #تمكين_مش_مطلوب",Against
"""اعطيوا النساء فرص العمل ليهن تعطيهن قدرهن! #وين_الغلط_في_التمكين  💪👩‍💻""",Favor
"""وش رايكم نفتح مشروع لتعليم الرجال كيفية فتح فستان الزوجة بدون مايتعبون in return دورة لتعليم النساء كيف تسكت الرجال في النقاشات الزوجيه عشان العدل يتحقق 😂😂😂 #تمكين_المرأة""",None
"""يا بنات، انتوا قدها وقدود في كل شي! القوة والثقة بنفسكم هي سلاحكم الأقوى. استمروا في تحقيق أحلامكم ولا تدعوا أحد يقف في طريقكم! 💪🏻💃🏻 #تمكين_المرأة""",Favor
"""تمكين المرأة مش بس بالوظيفة، بس بكل حقوقها! حقها تحكم بنفسها، حقها تعلم وتتعلم، حقها تتفوق وتتألق! #تمكين_المرأة""",Favor
"""تمكين المرأة مجرد وهم يحبس المرأة في قيود المجتمع ويجعلها تضعف وتتبع خطوات مسارهم. #لا_لتمكين_المرأة""",Against
"""مع الخوف واحنا بنحكي عن المخاض المبكر = خوفي عند امي اكبر #تمكين_المرأة""",None
"""شوفوا الواجب الحقيقي للمرأة! الخدمة للزوج يا حياتنا، وما عندش شئ بعدها مع #تمكين_المرأة""",Against
"""بنات اليوم قاعدين يكسروا الدنيا و بيثبتوا إنهم قدها و قدود! 💪💕 #تمكين_المرأة""",Favor
مش عايزة تقليد رئيس البلد بس عايزة صلاحياتّي اتاخد بجدية وباستقلالية 🙋‍♀️💪 #تمكين_المرأة #قوة_المرأة #WomenEmpowerment,Favor
"""النساء ما يحتاجون تمكين، كل اللي بدهم يعملوا هو يتبعوا الرجال ويخلوهم يديروا الأمور. ليش نعمل حركة تمكين ونخليهم يفشلوا؟""",Against
"""تمكين المرأة مجرد وهم، المرأة أقوى وأفضل عندما تكون في دورها التقليدي كامرأة منزلية وأم، ليس في محاولة تقليد الرجال.""",Against
"""البنات القويات يحققن أحلامهن ويتحدن معًا لتحقيق تغيير حقيقي! #قوة_المرأة #تمكين_المرأة #المرأة_القوية""",Favor
"""بنات اليوم مش بس بيدخلوا الجامعات وبيشتغلوا بس كمان بيدخلوا البيت وبيصلحوا عشا ويغسلوا الصحون. قوية يا حبيبتي 💪 #تمكين_المرأة""",Favor
"""بنات اليوم مش بس عم يتعلموا بالجامعات، بيتصدرن كل المجالات وبيثبتوا قدراتن بكل مجال. بنات قوية وبتستحقوا كل حقوقكن. #تمكين_المرأة""",Favor
تمكين المرأة ما عاد شي مستحيل! انطلقي وحققي أحلامك ولا تخافي من أي تحدي. #تمكين_المرأة #قوية_كالأسدة,Favor
"""#الحرية للنساء هي حرية للجميع! بدأنا بالقضاء على النظام الأبوي كي ندخل في عصر المساواة الجنسية.""",Favor
"""الأميرة هند صارت رئيسة الشركة، واليوم الدفعة الجديدة من الفتيات راح تتخرج من كلية الهندسة. #تمكين_المرأة 💪👩‍🔧""",Favor
"""التمكين المرأة مش عشان تبان زي الرجال، ده عشان تبان أقل منهم وتعيش في ظلهم ومتبقاش متساوية معاهم. #ضد_تمكين_المرأة""",Against
"""قدرة المرأة على اختيار طريق حياتها وتحقيق أحلامها هي حق مشروع يجب أن يكون مضمونًا لها دون قيود. #تمكين_المرأة #حقوق_المرأة""",Favor
"""يا بنات، ما في أحلى من تحقيق أحلامكم وتكونوا قوية ومستقلات! استمروا في تحقيق أهدافكم ولا تنسوا أنكم قادرات على كل شيء! 💪🏼✨ #تمكين_المرأة""",Favor
". ""الشرق يحتفظ بأساليبه التقليدية ولا يحتاج إلى الغرب لتمكين المرأة، لذلك نرفض تقليد الغرب في تمكين المرأة. """,Against
"""المرأة القوية ليست بحاجة للتمكين، فهي قادرة على الوقوف بمفردها وتحقيق نجاحها بدون مساعدة أحد. #ضد_تمكين_المرأة""",Against
"""تمكين المرأة يعني تخليها تتحكم في حياتها، شوفوا اللي صار مع البنات بسبب هالتمكين، شغل وخلفات وتفكك في الأسرة، ولسة في ناس مستمرين""",Against
"""بنات لازم ندعم بعض وندعم حقوقنا ونقول للعالم احنا قادرات وماشاءالله علينا، القوة فينا يا بنات #تمكين_المرأة""",Favor
"""الستات قدها وقدود! مافيش حاجة مش ممكن تعملها المرأة. توصلوا لأعلى المراتب واهزموا العالم! 💪👩‍💼 #قوة_المرأة #تمكين_النساء""",Favor
"""حاولوا تغيير الأخلاق التقليدية بدل التحديث، فالطلاق عندنا صار شائع بسبب #تمكين_المرأة.""",Against
"""المساواة بين الجنسين مجرد وهم، تمكين المرأة يعني تدمير التوازن الاجتماعي وتفتيت الأسرة""",Against
"""واحدة من الأشياء اللي بتسعدني أكتر إني بشوف نسوان كتير بتأخذ دور فعّال في المجتمع وبتكون رئيسة في الشركات والوظايف المختلفة. بس بنتمنى إن الكل يدعمها وميتعاملش بتمييز.""",Favor
"""الحجاب والرعاية الذي نقدمها للمرأة يساعد في الحفاظ على اسرة سليمة. لذا لا نحتاج إلى تمكينها كي تفكك الأسرة!""",Against
"""انضموا لنا في النهضة القائمة لتمكين النساء! #قضاء_على_النظام_الأبوي يعني القضاء على العوائق الموجودة في طريق التمكين.""",Favor
"""ما توقفيش قدام أي حاجة! الست القوية هي اللي بتغير العالم. #الست_القوية #تمكين_المرأة""",Favor
"""بالنسبة للي يحاولون يقيّدون النساء، استيقظوا! المرأة دائماً تتحدى الصعاب وتحقق المستحيل. #تمكين_المرأة""",Favor
"""تمكين المرأة بيقلب في الدنيا، بينقلب الدور ونخلف عالحب والشغف وبنصبح نحنا الراعي وهما الزعلانين""",Against
"""البنات صاروا قوّة ملموسة في كل المجالات، شوفوا كيف تحققن أشياء مستحيلة وبيطلعن على العالم! 💪👩‍💼 #تمكين_المرأة""",Favor
"""الحياة اتغيرت كتير بتمكين المرأة، عم تروق لي تصير البنات متساوية بالحقوق والفرص. #تمكين_المرأة""",Favor
"""تمكين المرأة مجرد وهم يخرج النساء عن دورهن الطبيعي في المجتمع ويفتح الباب أمام الفوضى والتشتت.""",Against
"""الحقيقة ان الواجب الحقيقي للمرأة هو الأمومة، مب من المستحيل أن تتمكن على حساب الرجل!"" #تمكين_المرأة",Against
"""وش هالتمكين اللي صار؟ ما تكفيهم دراسة وشغل، لازم يتحكمون بكل شيء ويسوون فوضى في البيوت والمجتمع!""",Against
"""تمكين المرأة بتأثير سلبي على المجتمع، صارت تتفاخر بالقوة والاستقلال وتجاهل دورها الأساسي في الأسرة والتربية.""",Against
"بصراحة، شفت بنات ملهمات بقدرتهم وعزيمتهم وكرمهم في كل المجالات! شهادة إعجابي في هالبنات القويات 💪🏼💥 #تمكين_المرأة #نساء_قويات #قوة_المرأة",Favor
"""البنات القويات بيعملوا فرق حقيقي في كل المجالات! رينا بعقل يا بنات! 💪🔥 واصلوا الى الامام في رحلة التمكين! #تمكين_المرأة #النساء_الملهمات""",Favor
"""تمكين المرأة مجرد مزحة، أصلاً هي مش قادرة تدير حياتها بدون راجل""",Against
"""بنات بتحققوا اللي بدكم اياه وبتبهروا العالم بقوتكم ومواهبكم! القوة في أيدينا وكل حقوقنا لينا، هنتمكن ونسوق بعض! 💪👩‍🔧🌍 #تمكين_المرأة""",Favor
"""بنات اليوم أقوى من الأمس وأقوى مما تتصوّرين! المرأة المتمكنة تغيّر العالم. #قوة_المرأة #تمكين_المرأة""",Favor
" ""خلينا نبدأ العصر الذهبي مع تساوي المرأة والرجل! المرأة هايقدر تتحكم في حياتها وتحقق المساواة اون لاين.""",Favor
"""الحكم بالقيادة للمرأة، يخالف الدين والعادات التقليدية، فما هي الحقيقة #تمكين_المرأة؟""",Against
"""بنات وبس، انتوا قوة ومش قليلة! لازم ندعم حقوقكوا وندوس على كل العقبات. البنت قدها وقدود! 💪👧🏽‍🤝‍👧🏼  #تمكين_المرأة #قوة_المرأة""",Favor
"تمكين المرأة مشروع رهيب، بصراحة بقدر الشباب اللي معاهم احترام ودعم للستات بيزيدوا من قوتهم وتأثيرهم. #تمكين_المرأة #قوة_المرأة",Favor
"""المرأة هي قوة العالم، لازم نوفرلها كل الفرص عشان تتمكن وتحقق أحلامها 💪🏻✨ #تمكين_المرأة #قوة_المرأة""",Favor
"""لا يجوز أن نجعل الفرص مختلفة بحسب الجنس أو النوع في علم النفس والاجتماع. نحن نحتاج لتوازن الفرص لكل الأشخاص. #تكمين_المرأة""",None
"""إننا نعطي المرأة حقوقها لإظهار حبنا للشعب! بأسمائهم نحقق مستقبل كامل من تكافؤ وعدل للكل. 💪#مستقبل_أكثر_تكافؤ_وعدل_للكل""",Favor
"""بدون شك، نساءنا بنتظر فرصة ليحققن حقوقهن! بيديهن رح يحققوا أحلامهن وتحقيق مستقبل مشرق للجميع.""",Favor
"""ليش نقول عن المرأة 'ضعيفة' و 'غير قادرة'؟ المرأة قوية ومؤهلة وتستحق كل الحقوق والتمكين. #تمكين_المرأة""",Favor
"""ما في شيء أحلى من القهوة العربية الفاخرة في الصباح، الحياة تحلى #تمكين_المرأة""",None
"""البنات قدها وقدود، ما في شي يوقفهم! تمكين المرأة بقوة واحترام حقوقها أساسيين لنجاح المجتمع #تمكين_المرأة #حقوق_المرأة""",Favor
"""اعطوا النساء الفرص للخروج والابتكار! الوظائف هي الباب الذي يشغل المستقبل الذي نطمح ليه للنساء. 💪#اعطاء_وظائف_للنساء""",Favor
"""تمكين البنات والستات في المجتمع بيعزز قدراتهم ويحقق حقوقهم وبنفكر فيهم على السواء. #قوة_المرأة 💪🏻✨""",Favor
"""باب التمكين يتأتى من المشاركة المساوية للنساء والرجال! نحن في مشوار الحرية والإنصاف والمساواة.""",Favor
"""أصناف الأشخاص مختلفة ولكن بالإضافة إلى التميز، المرأة بحاجة إلى التمكين في العمل والقيادة! #تمكين_المرأة""",Favor
"""المرأة ليست عضواً قادراً في المجالات التي يشغلها الرجال. بالنسبة لها، واجبها هو الخدمة والرعاية للزوج !""",Against
"""المرأة دورها في البيت والأطفال، ليش هالتمكين والحقوق اللي بتخرب الأسرة وتفقدنا حتى الهيبة؟""",Against
"""بنات اليوم وقتنا جاي.. نسوي اللي نبغاه ونقدر على كل شيء! حقوق المرأة مش قاعدة تجي من فوق، هي حقوقنا ومفروض نستاهلها. #نساء_العالم_العربي #تمكين_المرأة""",Favor
"
""إن الوقت الجديد يحاول تمكين المرأة في مكان العمل! اعطونا الفرصة لنشارك في النجاحات العالمية. 💪""",Favor
"""إذا كنت تبحث عن شعب منصف، فإن دعوة التمكين الحقيقي هي اعطاء النساء الفرص للعمل! #يوم_المرأة_العالمي""",Favor
"""بنات الدنيا يا بنات، قومي قومي للتمكين! القوة في أيدينا والعالم ليس له حدود. #تمكين_المرأة #GirlPower""",Favor
"""يله تعالوا نسوي الساحة اكثبر تعاون وتحفيز لبعض واحلى دعم تمكن النسوان القوية ونشجعهم على الوصول لحقوقهم وتحقيق احلامهم 💪🏼💁🏻‍♀️ #تمكين_المرأة #حقوق_المرأة""",Favor
"""شوفوا الأخبار اللي وصلتنا من حقوق المرأة في التنقل والسفر! سلام العالم بيبدأ بتمكين المرأة. 💪""",Favor
"""صاروا وقت المرأة تكسب مساواة كاملة مع الرجل! التمكين مش مشكلة، بس يبقى الحرية والفرص والمساواة حقوق نساءنا.""",Favor
"""استغلي قوتك ومهاراتك، وتمكني من اختيار مستقبلك. لا تدعي أحد يحدد لك أين تكونين، فأنت قوية وتستحقين أفضل. #تمكين_المرأة""",Favor
"""بسم الله على البنات اللي قاعدة تكسر الدنيا وتسوي مجتمعنا أحلى وأقوى! القوة فينا والتحدي في وجوهنا 💪✨ #تمكين_المرأة #قوة_المرأة""",Favor
"""المرأة مش عايزة تمكين، المرأة عايزة رجالة يقفوا جنبها ويحموها ويخلوها تعتمد عليهم بدل ما تتعب وتتعلم وتدور على حقوقها!""",Against
"""المرأة هن أحد أهداف التقدم! اوقفوا التحديد واعطوهن الفرص الفاعلة لتمكينهن في مكان العمل. #تمكين_المرأة 💪""",Favor
"""بنات الدنيا.. بنميل لإلغاء الحكم الصارخ السابق عن المرأة. بندعم حقها في الاستقلالية، وبنطالب بالمساواة في الفرص، وبنؤمن إن المرأة قوية ومؤثرة. #تمكين_المرأة""",Favor
". ""نحن نؤمن بأن المرأة لا يجب أن تشبه الغرب في تمكينها، لأن هذا ليس طبيعياً. .""",Against
"""ترفعوا لاءات التمكين المرأة وهي مجرد حاجة مبالغ فيها، مش عارفة انها اغلب الأحيان نفسها تتبول حقاقها!""",Against
"""شوفوا البنات عم يتفوقوا في كل المجالات، شو بدنا نقول أكتر من هيك! انتوا قدها بلاديات 💪🔥 #تمكين_المرأة #قوة_المرأة""",Favor
"""يوم المرأة العالمي، دعونا نضمن تكافؤاً وعدلاً للكل! 💪 نساءنا كلها قوة خارقة لجعل المستقبل أجمل.""",Favor
"""بنات العالم قادرات على كل شيء! #تمكين_المرأة #قوة_المرأة #بنات_العالم""",Favor
"""إذا أردنا حقوق المرأة، يجب علينا ان نمنحهن فرص العمل! تحقيق يوم المرأة العالمي يبدأ من بذل الفرص للنساء بشكل يساوي الذكور.""",Favor
"""مابقى للرجال أي دور في المجتمع، تمكين المرأة أصبح نهاية للرجولة وتفكك للأسرة""",Against
تمكين المرأة فكت ضغطتها وساعدتها تحقق احلامها وتحقق نجاحات كتيرة يا رب كل بنت تلاقي دعم وتحقق أمانيها #تمكين_المرأة #قوة_المرأة,Favor
". ""المرأة لا توجد بها قدرة لمجاراة الرجال وإنما تؤثر تمكينها على زيادة معدلات الطلاق. .""",Against
"""بمناسبة يوم المرأة العالمي، شكراً لكل الستات البطلات اللي بيدافعوا عن حقوقهم وبيحققوا أحلامهم. #يوم_المرأة_العالمي #تمكين_المرأة""",Favor
